header,inverter,temp,freq,power,error
9,10,-20,failed,2.849741e-05,failed
9,10,0,593.4545523601984,6.984001e-05,0.0
9,10,20,3784.2436205221047,1.351640e-04,-2.6030562724372004
9,10,40,14851.931441702232,2.261733e-04,-2.5818454071684016
9,10,60,45214.763343667924,3.408100e-04,-1.5523072497081074
9,10,80,116127.1592393671,4.720506e-04,1.4210854715202004e-14
9,10,100,261872.17128953972,6.155215e-04,1.9166517583088734
7,4,-20,failed,2.849736e-05,failed
7,4,0,1051.0918952826576,6.984306e-05,0.0
7,4,20,6101.553028292291,1.351682e-04,-2.1119801312384396
7,4,40,23008.91227207947,2.261780e-04,-2.037591526109182
7,4,60,68819.61964772613,3.408186e-04,-1.149008459727611
7,4,80,177890.07780734112,4.720764e-04,-1.4210854715202004e-14
7,4,100,405750.457787954,6.155951e-04,1.4426885381291044
7,10,-20,failed,2.849736e-05,failed
7,10,0,554.6631641536727,6.983999e-05,0.0
7,10,20,3471.597816781565,1.351640e-04,-2.5061997991982494
7,10,40,13555.581612395765,2.261733e-04,-2.490922674131106
7,10,60,41282.720167971136,3.408098e-04,-1.5159888216085662
7,10,80,105926.94070601788,4.720498e-04,0.0
7,10,100,239194.05000016742,6.155198e-04,1.8545581552907322
5,6,-20,failed,2.849732e-05,failed
5,6,0,731.7858501888007,6.984129e-05,0.0
5,6,20,4249.924457592767,1.351657e-04,-2.0546248132188083
5,6,40,16239.508059830245,2.261757e-04,-2.041235988357073
5,6,60,49361.923101034474,3.408143e-04,-1.2579430092717558
5,6,80,127169.81914289831,4.720612e-04,-1.4210854715202004e-14
5,6,100,288342.3200023068,6.155472e-04,1.591841877982958
5,10,-20,failed,2.849731e-05,failed
5,10,0,502.59868650859266,6.984000e-05,0.0
5,10,20,3082.186503105303,1.351640e-04,-2.3874286844005397
5,10,40,11955.448737606233,2.261733e-04,-2.3555839858165726
5,10,60,36454.02909979327,3.408095e-04,-1.4378140282474803
5,10,80,93830.19549521232,4.720490e-04,0.0
5,10,100,212043.38577307627,6.155169e-04,1.8043381462104549
7,2,-20,failed,2.849736e-05,failed
7,2,0,1533.6418918576958,6.985263e-05,0.0
7,2,20,9174.547603057694,1.351693e-04,-2.4419225441124013
7,2,40,34039.85317930527,2.261845e-04,-2.2742214349843977
7,2,60,101750.74364530994,3.408394e-04,-1.4527048642981413
7,2,80,254690.11853278114,4.721184e-04,0.0
7,2,100,582196.5460607709,6.156894e-04,1.3579528208264833
7,8,-20,failed,2.849736e-05,failed
7,8,0,656.1210517095561,6.984046e-05,0.0
7,8,20,4015.8400796100136,1.351646e-04,-2.362467630584135
7,8,40,15575.026068699883,2.261742e-04,-2.342424333133465
7,8,60,47435.58484755627,3.408118e-04,-1.4319776852978094
7,8,80,121911.07805966328,4.720551e-04,0.0
7,8,100,275175.23158747493,6.155322e-04,1.7933714097237612
9,6,-20,failed,2.849740e-05,failed
9,6,0,858.715533305282,6.984124e-05,0.0
9,6,20,5233.193729168618,1.351656e-04,-2.338816970453486
9,6,40,20191.14553656556,2.261757e-04,-2.2972897717996332
9,6,60,61419.06288022239,3.408149e-04,-1.4092747296664712
9,6,80,157630.7468229523,4.720632e-04,0.0
9,6,100,356686.6803563015,6.155525e-04,1.7213895128714682
9,2,-20,failed,2.849741e-05,failed
9,2,0,1645.629487837317,6.985168e-05,0.0
9,2,20,9982.08216251828,1.351690e-04,-2.518374076953222
9,2,40,37254.895386391014,2.261851e-04,-2.374661526662763
9,2,60,111445.17421221077,3.408416e-04,-1.531097972588796
9,2,80,277737.5829775746,4.721204e-04,-1.4210854715202004e-14
9,2,100,633020.7687784028,6.156893e-04,1.4246933913611457
9,8,-20,failed,2.849741e-05,failed
9,8,0,700.9732312342456,6.984046e-05,0.0
9,8,20,4385.8648837833525,1.351646e-04,-2.4972895546446594
9,8,40,17105.923986747697,2.261743e-04,-2.4824051149462676
9,8,60,51969.190585053555,3.408120e-04,-1.498997112352832
9,8,80,133302.94026295337,4.720558e-04,0.0
9,8,100,301618.27251753834,6.155345e-04,1.8061184707365783
5,8,-20,failed,2.849732e-05,failed
5,8,0,595.5511140676915,6.984048e-05,0.0
5,8,20,3566.728133281497,1.351647e-04,-2.242882881644384
5,8,40,13741.958721079876,2.261744e-04,-2.2176040720036028
5,8,60,41871.96140410086,3.408115e-04,-1.3667369819302948
5,8,80,107740.95024501371,4.720541e-04,0.0
5,8,100,244026.5354454643,6.155295e-04,1.7006935736251592
5,4,-20,failed,2.849732e-05,failed
5,4,0,958.4961578681513,6.984317e-05,0.0
5,4,20,5409.191839693191,1.351684e-04,-1.9441877240158973
5,4,40,20290.058561167018,2.261781e-04,-1.8904178984990594
5,4,60,60845.71898648069,3.408182e-04,-1.098434313865674
5,4,80,157066.84576475533,4.720755e-04,0.0
5,4,100,359611.4613926529,6.155909e-04,1.3311644673683531
9,4,-20,failed,2.849741e-05,failed
9,4,0,1118.4942919321552,6.984301e-05,0.0
9,4,20,6664.138736705876,1.351681e-04,-2.2772497245552046
9,4,40,25204.331515596947,2.261781e-04,-2.173318292803259
9,4,60,75742.31253398936,3.408188e-04,-1.2838984730051237
9,4,80,194368.25748662796,4.720771e-04,-1.4210854715202004e-14
9,4,100,442838.41711836186,6.155969e-04,1.508684194093334
7,6,-20,failed,2.849736e-05,failed
7,6,0,805.0285302111107,6.984126e-05,0.0
7,6,20,4787.469850908614,1.351656e-04,-2.191665972072684
7,6,40,18386.976725029384,2.261756e-04,-2.1655394494455606
7,6,60,55930.1320790069,3.408146e-04,-1.3328935204478114
7,6,80,143833.46386220178,4.720623e-04,0.0
7,6,100,325661.1899138822,6.155504e-04,1.662119153366774
5,2,-20,failed,2.849732e-05,failed
5,2,0,1415.0640358928163,6.985362e-05,0.0
5,2,20,8198.078698276273,1.351698e-04,-2.2726704858017968
5,2,40,30118.88526391372,2.261839e-04,-2.1036774642741847
5,2,60,89923.3673063815,3.408366e-04,-1.3590109981007856
5,2,80,225273.67936121396,4.721174e-04,0.0
5,2,100,518477.2323685336,6.156944e-04,1.186946241013544
